id,name,platform,account_status,sf_health,arr,software,monitoring,cvo,licensing,won_date,contract_start,contract_end,renewal_date,segment,csm,exec_sponsor_name,exec_sponsor_title,last_touch_by,last_touch_channel,last_touch_date,last_touch_summary,pending_task_owner,note
northgatesystems,Northgate Systems,OEM,Implementing,—,30000,30000,0,0,0,,,,2027-05-31,Retail & E-commerce,Jordan Ellis,,,,,,,,
blueharborlabs,Blue Harbor Labs,OEM,Implementing,—,30044,30044,0,0,0,,,,2028-05-14,SaaS / Software,,,,,,,,,
meridiandigital,Meridian Digital,OEM,Launched,—,39955,31480,0,8475,0,,,,2026-06-25,Financial Services,Casey Brooks,,,,,,,,
apexretailgroup,Apex Retail Group,OEM,Launched,—,42405,42405,0,0,0,,,,2026-06-27,Media & Entertainment,Casey Brooks,,,,,,,,
cedarviewpartners,Cedarview Partners,OEM,Implementing,—,30995,30995,0,0,0,,,,2029-05-21,Logistics & Supply Chain,,,,,,,,,
lumenanalytics,Lumen Analytics,OEM,Launched,—,37758,37758,0,0,0,,,,2026-12-04,Manufacturing,Taylor Reed,,,,,,,,
vantagelogistics,Vantage Logistics,OEM,Implementing,—,44999,29999,0,0,0,,,,2028-05-17,Education,,,,,,,,,
orchardsoftware,Orchard Software,OEM,Implementing,—,33039,33039,0,0,0,,,,2028-09-15,Hospitality & Travel,Priya Shah,,,,,,,,
silverlinemedia,Silverline Media,OEM,Launched,—,47353,47353,0,0,0,,,,2027-05-29,Professional Services,Taylor Reed,,,,,,,,
brightpathco,Brightpath Co,OEM,Implementing,—,30000,30000,0,0,0,,,,2029-01-26,Marketing & Agencies,Jordan Ellis,,,,,,,,
harborviewgroup,Harborview Group,OEM,Launched,—,34534,34534,0,0,0,,,,2029-03-15,Retail & E-commerce,Jordan Ellis,,,,,,,,
copperlineretail,Copperline Retail,OEM,Launched,—,42952,42952,0,0,0,,,,2027-11-26,SaaS / Software,Taylor Reed,,,,,,,,
tradewindsco,Tradewinds Co,OEM,Launched,—,33785,33785,0,0,0,,,,2027-07-28,Financial Services,Taylor Reed,,,,,,,,
pinecrestsolutions,Pinecrest Solutions,OEM,Launched,—,32019,21939,0,10080,0,,,,2029-03-11,Media & Entertainment,Priya Shah,,,,,,,,
deltaridgeco,Delta Ridge Co,OEM,Launched,—,34989,21219,0,13770,0,,,,2028-05-31,Logistics & Supply Chain,Casey Brooks,,,,,,,,
everlinesystems,Everline Systems,OEM,Launched,—,39304,39304,0,0,0,,,,2027-02-19,Manufacturing,Jordan Ellis,,,,,,,,
foundryworks,Foundry Works,OEM,Launched,—,39965,39965,0,0,0,,,,2027-12-31,Education,Jordan Ellis,,,,,,,,
granitepeakgroup,Granite Peak Group,OEM,Launched,—,41080,41080,0,0,0,,,,2028-03-25,Hospitality & Travel,Taylor Reed,,,,,,,,
halcyonlabs,Halcyon Labs,OEM,Implementing,—,42378,32178,0,10200,0,,,,2028-03-31,Professional Services,Jordan Ellis,,,,,,,,
junctiondigital,Junction Digital,OEM,Launched,—,30000,30000,0,0,0,,,,2027-07-08,Marketing & Agencies,Jordan Ellis,,,,,,,,
keystoneretail,Keystone Retail,OEM,Launched,—,39390,23270,0,16120,0,,,,2026-11-08,Retail & E-commerce,Jordan Ellis,,,,,,,,
lakesidegroup,Lakeside Group,OEM,Launched,—,47280,35040,0,12240,0,,,,2028-04-16,SaaS / Software,Casey Brooks,,,,,,,,
monarchmedia,Monarch Media,OEM,Launched,—,22400,22400,0,0,0,,,,2028-04-29,Financial Services,Priya Shah,,,,,,,,
novafieldsco,Nova Fields Co,OEM,Implementing,—,30700,30700,0,0,0,,,,2029-05-10,Media & Entertainment,,,,,,,,,
oakmontsolutions,Oakmont Solutions,OEM,Launched,—,26823,26823,0,0,0,,,,2027-05-27,Logistics & Supply Chain,Priya Shah,,,,,,,,
parkwaysystems,Parkway Systems,OEM,Implementing,—,40308,40308,0,0,0,,,,2028-03-04,Manufacturing,Jordan Ellis,,,,,,,,
quillbrookco,Quillbrook Co,OEM,Launched,—,25000,25000,0,0,0,,,,2028-02-27,Education,Jordan Ellis,,,,,,,,
redwoodanalytics,Redwood Analytics,OEM,Launched,—,39012,39012,0,0,0,,,,2027-04-16,Hospitality & Travel,Priya Shah,,,,,,,,
solsticelabs,Solstice Labs,OEM,Launched,—,30550,25501,0,5049,0,,,,2028-07-30,Professional Services,Priya Shah,,,,,,,,
timbercreekgroup,Timber Creek Group,OEM,Launched,—,34364,34364,0,0,0,,,,2028-03-30,Marketing & Agencies,Jordan Ellis,,,,,,,,
unionsquareco,Union Square Co,OEM,Launched,—,27304,27304,0,0,0,,,,2028-03-04,Retail & E-commerce,Priya Shah,,,,,,,,
vertexretail,Vertex Retail,OEM,Launched,—,30000,25000,0,5000,0,,,,2027-07-30,SaaS / Software,Casey Brooks,,,,,,,,
westbrookgroup,Westbrook Group,OEM,Launched,—,30000,30000,0,0,0,,,,2027-11-18,Financial Services,Jordan Ellis,,,,,,,,
sableandfinch,Sable & Finch,OEM,Implementing,—,30000,30000,0,0,0,,,,2027-11-20,Media & Entertainment,Priya Shah,,,,,,,,
yellowstonemedia,Yellowstone Media,OEM,Launched,—,43015,43015,0,0,0,,,,2027-07-29,Logistics & Supply Chain,Jordan Ellis,,,,,,,,
zephyrsystems,Zephyr Systems,OEM,Launched,—,47783,32708,0,15075,0,,,,2026-08-25,Manufacturing,Casey Brooks,,,,,,,,
atlascommerce,Atlas Commerce,OEM,Implementing,—,44751,34551,0,10200,0,,,,2028-04-29,Education,Jordan Ellis,,,,,,,,
brookfieldlabs,Brookfield Labs,OEM,Launched,—,46634,30477,0,16157,0,,,,2026-10-16,Hospitality & Travel,Taylor Reed,,,,,,,,
